career_1,career_2,career_3,career_1_trans,career_2_trans,career_3_trans
Product Manager,Consultant,College Professor,13,3,5
System Administrator,Cloud Engineer,DevOps,16,2,9
Data Analyst,Machine Learning Engineer,Business Operational Analyst,4,8,3
System Engineer,Backend Engineer,Cyber Security,17,0,6
Mobile Application developer,UI UX Engineer,Full-stack,10,17,10
Machine Learning Engineer,Data Engineer,DevOps,9,5,9
DevOps,Cloud Engineer,Backend Engineer,6,2,1
Machine Learning Engineer,Data Analyst,Data Engineer,9,4,7
System Engineer,System Administrator,DevOps,17,16,9
ML Engineer,Specialist Programmer,Data Engineer,8,15,7
Product Manager,Software Engineer,Data Engineer,13,14,7
Cloud Engineer,System Administrator,Network Engineer,1,16,15
Product Manager,Business Intelligence Engineer,QA Automation Engineer,13,1,17
Business Intelligence Engineer,Product Manager,QA Automation Engineer,0,12,17
Business Intelligence Engineer,Cloud Engineer,Product Manager,0,2,16
Web Developer,Software Engineer,DevOps,19,14,9
UI UX Engineer,Web Developer,Software Engineer,18,18,18
Web Developer,Software Engineer,UI UX Engineer,19,14,23
Product Manager,QA Automation Engineer,Business Intelligence Engineer,13,13,2
Software Engineer,Web Developer,DevOps,14,18,9
Software Engineer,Web Developer,DevOps,14,18,9
Software Engineer,DevOps,Web Developer,14,7,24
Cyber Security,Network Administrator,Network Engineer,3,10,15
UI UX Engineer,Web Developer,Mobile Developer,18,18,13
Data Engineer,Specialist Programmer,Data Scientist,5,15,8
DevOps,Cloud Engineer,Software Engineer,6,2,18
UI UX Engineer,Mobile Developer,Web Developer,18,9,24
Network Administrator,Product Manager,System Administrator,12,12,20
Machine Learning Engineer,Data Scientist,Data Engineer,9,6,7
Web Developer,UI UX Engineer,DevOps,19,17,9
Mobile Developer,Product Manager,UI UX Engineer,11,12,23
UI UX Engineer,Web Developer,Product Manager,18,18,16
DevOps,Web Developer,Specialist Programmer,6,18,19
DevOps,Cloud Engineer,System Administrator,6,2,20
Software Engineer,Web Developer,DevOps,14,18,9
UI UX Engineer,Web Developer,AR VR Engineer,18,18,0
Machine Learning Engineer,Data Scientist,Data Engineer,9,6,7
Product Manager,Business Intelligence Engineer,QA Automation Engineer,13,1,17
Software Engineer,Web Developer,Mobile Developer,14,18,13
